"file_type","count"
"go","11133304"
"js","4687190"
"md","1944158"
"py","1239838"
"json","1232979"
"png","774294"
"pyc","739712"
"sh","712898"
"php","625511"
"html","509924"
"h","357802"
"yaml","289055"
"txt","274617"
"yml","229855"
"rb","223814"
"c","218520"
"travis","200438"
"css","177244"
"xml","176837"
"cc","168598"
"java","166791"
"1","162532"
"gitignore","160985"
"vcxproj","160813"
"npmignore","153238"
"conf","135647"
"j2","133198"
"dat","128360"
"svg","125543"
"proto","122846"
"min","117600"
"gif","106705"
"pb","104852"
"less","98224"
"client","96010"
"cs","86267"
"jpg","85067"
"class","83516"
"s","76186"
"scss","65731"
"d","64741"
"cpp","62694"
"inc","59933"
"pem","51374"
"po","47050"
"ri","45455"
"pp","45413"
"server","45244"
"tar","42407"
"ts","39940"
"so","38240"
"ui","37774"
"markdown","35809"
"mo","35784"
"test","34702"
"coffee","33011"
"pl","32866"
"rst","30980"
"sls","30947"
"service","28499"
"bats","28257"
"generated","26833"
"jshintrc","26795"
"gliffy","26044"
"key","25272"
"0","25107"
"ini","24680"
"pxd","24637"
"tmPreferences","24474"
"template","23569"
"asciidoc","22845"
"hpp","22725"
"dtd","22007"
"csv","21683"
"o","21669"
"vim","21205"
"text","20669"
"info","20530"
"tpl","18915"
"golden","18144"
"metadata","18119"
"properties","17707"
"8","16912"
"cfg","16589"
"erb","16506"
"m","16259"
"module","15994"
"ttf","15676"
"cmake","15566"
"cnf","15310"
"config","14937"
"dockerignore","14287"
"crt","14257"
"i18n","13938"
"spec","13843"
"woff","13737"
"as","13047"
"sql","13004"
"hcl","13002"
"Dockerfile","12999"
"eot","12959"
"bower","12865"
"mod","12790"
"dep","12750"
"gitkeep","12405"
"scala","11595"
"ico","11359"
"editorconfig","11311"
"bat","11104"
"2","10959"
"deepcopy","10923"
"cache","10700"
"5","10632"
"toml","10422"
"string","10113"
"install","10057"
"htm","10030"
"feature","9811"
"pcap","9654"
"gitattributes","9625"
"generation","9341"
"cu","9311"
"signing_policy","9253"
"object","9221"
"jade","9009"
"patch","8978"
"pod","8966"
"ent","8645"
"3","8560"
"exe","8508"
"fa","8384"
"namespaces","8337"
"lock","8317"
"bash","8308"
"hbs","8131"
"adoc","7945"
"tmLanguage","7931"
"sav","7768"
"in","7647"
"7","7639"
"jsm","7555"
"r0","7272"
"src","7253"
"4","7246"
"manifest","7227"
"frag","6965"
"reflect","6861"
"vert","6857"
"q","6744"
"xhtml","6720"
"cmd","6697"
"eslintrc","6694"
"math","6673"
"data","6618"
"array","6436"
"lib","6331"
"BSD","6194"
"hx","6078"
"log","6063"
"api","6038"
"node","5967"
"component","5957"
"pdf","5764"
"jsx","5742"
"mk","5742"
"fish","5733"
"groovy","5718"
"phpt","5601"
"snippets","5503"
"header","5498"
"zip","5491"
"woff2","5420"
"docker","5350"
"gradle","5344"
"tmpl","5286"
"swap-origin-redirect","5280"
"make","5279"
"conversion","5273"
"11","5244"
"https","5223"
"6","5219"
"sublime-settings","5180"
"mustache","5081"
"keep-origin-redirect","5024"
"no-redirect","5024"
"ejs","4995"
"mailmap","4969"
"bashrc","4951"
"env","4940"
"bin","4915"
"asynct","4819"
"i","4719"
"bowerrc","4698"
"list","4681"
"admin","4678"
"ai","4656"
"f","4601"
"plist","4599"
"sln","4523"
"9","4510"
"opts","4492"
"lang","4420"
"bed","4413"
"number","4398"
"controller","4397"
"cshtml","4321"
"jar","4300"
"cert","4299"
"drone","4234"
"scssc","4169"
"gitmodules","4101"
"stamp","4097"
"input","4076"
"tf","4027"
"contrib","4007"
"sublime-snippet","3986"
"rule","3969"
"10","3925"
"lua","3907"
"vtc","3896"
"4_GLNX86","3887"
"keep","3874"
"pyx","3764"
"build","3762"
"typed","3759"
"regexp","3706"
"props","3703"
"validate","3651"
"zuul","3627"
"sub","3588"
"map","3586"
"mat","3543"
"lint","3435"
"gyp","3397"
"json5","3320"
"12","3310"
"handlebars","3279"
"compat","3262"
"index","3245"
"lite","3237"
"flot","3217"
"ber","3216"
"1_GLNX86","3211"
"dev","3202"
"runtime","3197"
"DS_Store","3192"
"default","3190"
"hh","3187"
"rhel7","3183"
"pm","3173"
"APACHE","3125"
"eclipse","3121"
"types","3112"
"dot","3094"
"ipynb","3086"
"crl_url","3060"
"expected","3016"
"code","3014"
"libyaml","2993"
"directive","2988"
"effects","2975"
"socket","2948"
"canonical","2932"
"hs","2926"
"underscore","2881"
"a","2821"
"sample","2815"
"goconvey","2774"
"output","2739"
"1_SOL2","2704"
"rc","2692"
"fq","2684"
"htaccess","2682"
"authorization","2681"
"core","2670"
"docs","2661"
"amd","2659"
"tmTheme","2658"
"pub","2636"
"jscsrc","2635"
"dox","2617"
"phtml","2599"
"otf","2593"
"profile","2568"
"am","2559"
"gz","2542"
"selector","2539"
"wav","2523"
"dll","2506"
"csslintrc","2495"
"tgz","2491"
"m4","2486"
"clj","2447"
"rules","2445"
"repo","2443"
"S","2429"
"asm","2411"
"browser","2391"
"ru","2376"
"io","2372"
"upstart","2336"
"jpeg","2329"
"train","2248"
"xsl","2241"
"nn","2230"
"local","2208"
"srl","2208"
"authentication","2191"
"gen","2157"
"example","2153"
"sysconfig","2137"
"password","2128"
"jsp","2124"
"files_generated","2119"
"views","2114"
"dart","2112"
"slugignore","2102"
"paginators","2100"
"jshintignore","2095"
"eslintignore","2074"
"pdb","2063"
"styl","2054"
"variables","2047"
"f90","2044"
"cer","2026"
"all","2023"
"pages","2021"
"gemspec","2001"
"vcproj","1997"
"overrides","1981"
"date","1975"
"import","1971"
"tokens","1959"
"want","1958"
"localregistry","1948"
"R","1935"
"async","1918"
"ps1","1914"
"htpasswd","1894"
"blade","1887"
"arff","1878"
"placeholder","1867"
"pbxproj","1866"
"gnu","1866"
"command","1863"
"cpm","1857"
"pcl","1857"
"npz","1854"
"simple","1847"
"centos-7","1842"
"18","1806"
"19","1803"
"image","1802"
"out","1788"
"include","1776"
"podspec","1775"
"headers","1765"
"dia","1751"
"fixtures","1750"
"tap","1744"
"te","1735"
"ex","1735"
"not","1734"
"postinst","1725"
"20","1716"
"ubuntu-14","1715"
"par","1706"
"md~","1704"
"cson","1703"
"sass","1703"
"integration-daemon-start","1694"
"2c_SOL2","1690"
"pot","1690"
"csproj","1686"
"project","1676"
"MIT","1676"
"sorted","1674"
"css_t","1651"
"initd","1635"
"seqdiag","1614"
"fc","1609"
"confd","1599"
"csr","1585"
"db","1578"
"febootstrap-minimize","1578"
"write","1572"
"state","1570"
"read","1563"
"bundle","1554"
"if","1543"
"17","1541"
"tcl","1540"
"nanorc","1538"
"21","1538"
"dyn","1530"
"wb","1530"
"swf","1523"
"APACHE2","1519"
"gff","1519"
