"file_type","count"
"go","1744319"
"md","197262"
"j2","92600"
"sh","82044"
"json","46914"
"yaml","45605"
"png","33481"
"java","28862"
"proto","26288"
"html","24169"
"pb","23928"
"1","20260"
"gitignore","18239"
"s","17382"
"py","17090"
"yml","13681"
"travis","13444"
"js","12186"
"conf","9402"
"h","9255"
"hcl","8788"
"c","8688"
"svg","7936"
"generated","6855"
"txt","6714"
"dat","6260"
"pl","6158"
"xml","5961"
"php","5941"
"pem","5085"
"cc","4883"
"scss","4874"
"gliffy","4581"
"tar","4577"
"sls","4502"
"jpg","4495"
"deepcopy","4438"
"key","3598"
"rb","3168"
"tf","2784"
"markdown","2573"
"css","2551"
"erb","2530"
"bats","2332"
"crt","2162"
"conversion","2143"
"min","2128"
"feature","2063"
"8","2042"
"service","2025"
"toml","1693"
"Dockerfile","1664"
"gen","1484"
"ini","1352"
"cert","1339"
"properties","1327"
"cs","1310"
"manifest","1071"
"dockerignore","1045"
"golden","1028"
"template","981"
"docker","964"
"mailmap","913"
"spec","903"
"gitattributes","902"
"0","871"
"rst","865"
"lock","831"
"input","823"
"vim","776"
"gif","753"
"jinja","732"
"localregistry","716"
"v2","703"
"cfg","684"
"2","659"
"want","655"
"ttf","647"
"bash","639"
"ui","637"
"test","633"
"env","626"
"5","613"
"bat","613"
"4","568"
"woff","556"
"rc","545"
"eot","531"
"validate","528"
"cnf","525"
"po","511"
"ico","503"
"scala","494"
"hw","493"
"3","492"
"v1","490"
"adoc","475"
"gradle","471"
"k8s","462"
"less","431"
"sql","428"
"config","426"
"not","417"
"sample","407"
"pdf","404"
"htpasswd","392"
"woff2","386"
"APACHE","378"
"cer","378"
"BSD","378"
"goconvey","377"
"sgml","372"
"directive","366"
"text","358"
"libyaml","344"
"te","341"
"xen","337"
"fc","337"
"docs","333"
"code","332"
"galaxy_install_info","330"
"if","323"
"install","323"
"groovy","317"
"list","311"
"ppc64le","304"
"aarch64","303"
"ts","300"
"armhf","297"
"20","296"
"19","296"
"18","296"
"vendor-helpers","296"
"go-autogen","296"
"integration-daemon-start","296"
"simple","295"
"socket","291"
"cp","288"
"s390x","288"
"plist","287"
"gz","286"
"dot","286"
"fish","281"
"csv","280"
"org","280"
"label","279"
"ensure-emptyfs","277"
"integration-daemon-stop","277"
"ps1","276"
"bz2","275"
"12","273"
"supervisord","272"
"default","270"
"6","267"
"rabl","266"
"postinst","266"
"exe","264"
"in","264"
"manpages","262"
"initd","262"
"sed","262"
"m","261"
"rules","260"
"sysconfig","259"
"bash-completion","258"
"febootstrap-minimize","258"
"confd","258"
"nanorc","258"
"tmPreferences","258"
"tmLanguage","258"
"udev","258"
"integration-daemon-setup","258"
"7","256"
"fst","256"
"build","253"
"21","249"
"timer","249"
"tcl","232"
"controller","229"
"10","229"
"gwt","224"
"24","223"
"22","222"
"23","221"
"micro","221"
"authorization","219"
"gyp","214"
"src","210"
"ensure-httpserver","204"
"centos-7","204"
"ensure-frozen-images","204"
"windows","201"
"ai","200"
"25","198"
"psm1","197"
"detect-daemon-osarch","197"
"ubuntu-14","196"
"jsonl","196"
"binary","196"
"MD","194"
"import-restrictions","193"
"mkd","191"
"files_generated","186"
"rethink","186"
"admin","184"
"dia","182"
"seqdiag","182"
"mc","180"
"passwd","180"
"cpp","178"
"binary-setup","177"
"ubuntu-12","174"
"iql","174"
"13","171"
"repo","166"
"ovpn","165"
"tmpl","163"
"header","163"
"srl","163"
"9","162"
"dev","162"
"cmake","160"
"gccgo","157"
"lua","157"
"coffee","153"
"db","153"
"ignore","152"
"kv","152"
"styl","147"
"am","146"
"centos-6","144"
"empty","141"
"protobuf","139"
"gemspec","136"
"static","135"
"jar","134"
"defaults","132"
"treeview","130"
"ensure-frozen-images-windows","124"
